trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.5, 'e': 0.9832280454766772}",20,0,-96.19509871406095,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
43,False,"{'a': 0.5, 'e': 0.982397400822057}",20,0,-94.54379036237272,"{0: 11, 1: 1, 2: 6, 3: 2, 4: 0}",0
44,False,"{'a': 0.5, 'e': 0.9815464887358855}",20,0,-98.95594112153144,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
45,False,"{'a': 0.5, 'e': 0.9806752903689298}",20,0,-58.690849708642084,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
46,False,"{'a': 0.5, 'e': 0.97978378632427}",25,0,-112.40624033637816,"{0: 16, 1: 2, 2: 4, 3: 2, 4: 1}",0
47,False,"{'a': 0.5, 'e': 0.9788719566494571}",25,0,-34.12988542941323,"{0: 17, 1: 6, 2: 2, 3: 0, 4: 0}",0
48,False,"{'a': 0.5, 'e': 0.9779397808284211}",20,0,-53.5336027746013,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
49,False,"{'a': 0.5, 'e': 0.9769872377731222}",20,0,-123.44616566342732,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 3}",0
50,False,"{'a': 0.5, 'e': 0.9760143058149414}",30,0,-60.22473273529798,"{0: 22, 1: 2, 2: 5, 3: 1, 4: 0}",0
51,False,"{'a': 0.5, 'e': 0.9750209626958037}",20,0,-65.07572940872811,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
52,False,"{'a': 0.5, 'e': 0.9740071855590268}",20,0,-69.66866430661221,"{0: 11, 1: 1, 2: 8, 3: 0, 4: 0}",0
53,False,"{'a': 0.5, 'e': 0.9729729509398907}",25,0,-156.08557437967318,"{0: 15, 1: 3, 2: 4, 3: 0, 4: 3}",0
54,False,"{'a': 0.5, 'e': 0.9719182347559207}",20,0,-32.623733551413444,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
55,False,"{'a': 0.5, 'e': 0.9708430122968763}",20,0,-48.33290207207282,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
56,False,"{'a': 0.5, 'e': 0.969747258214441}",30,0,-150.00172424455963,"{0: 19, 1: 4, 2: 3, 3: 2, 4: 2}",0
57,False,"{'a': 0.5, 'e': 0.9686309465116025}",20,0,-73.9573681692033,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
58,False,"{'a': 0.5, 'e': 0.9674940505317192}",25,0,-50.83900766929631,"{0: 15, 1: 6, 2: 4, 3: 0, 4: 0}",0
59,False,"{'a': 0.5, 'e': 0.9663365429472615}",25,0,-98.5799427763219,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
60,False,"{'a': 0.5, 'e': 0.9651583957482229}",30,0,-106.91060203483583,"{0: 20, 1: 3, 2: 5, 3: 1, 4: 1}",0
61,False,"{'a': 0.5, 'e': 0.9639595802301906}",25,16,-6.530098569451159,"{0: 6, 1: 2, 2: 1, 3: 0, 4: 0}",1
62,False,"{'a': 0.5, 'e': 0.9627400669820658}",20,0,-164.26022077910486,"{0: 10, 1: 3, 2: 4, 3: 0, 4: 3}",0
63,False,"{'a': 0.5, 'e': 0.961499825873428}",20,0,-47.07974055284073,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
64,False,"{'a': 0.5, 'e': 0.9602388260415289}",20,0,-98.39646713258517,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
65,False,"{'a': 0.5, 'e': 0.9589570358779111}",20,0,-58.22433632380532,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",1
66,False,"{'a': 0.5, 'e': 0.9576544230146373}",20,0,-35.45790333064005,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
67,False,"{'a': 0.5, 'e': 0.9563309543101213}",25,0,-55.22145208094748,"{0: 15, 1: 4, 2: 6, 3: 0, 4: 0}",0
68,False,"{'a': 0.5, 'e': 0.9549865958345491}",30,0,-228.76109184858316,"{0: 17, 1: 3, 2: 5, 3: 1, 4: 4}",0
69,False,"{'a': 0.5, 'e': 0.95362131285488}",20,0,-57.8631435755982,"{0: 13, 1: 5, 2: 1, 3: 0, 4: 1}",0
70,False,"{'a': 0.5, 'e': 0.9522350698194132}",30,12,-65.4413668904021,"{0: 11, 1: 3, 2: 3, 3: 0, 4: 1}",1
71,False,"{'a': 0.5, 'e': 0.9508278303419092}",20,0,-168.22560022332328,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 4}",0
72,False,"{'a': 0.5, 'e': 0.9493995571852545}",25,0,-164.43805770140253,"{0: 16, 1: 0, 2: 6, 3: 0, 4: 3}",0
73,False,"{'a': 0.5, 'e': 0.9479502122446528}",25,0,-149.19534327691233,"{0: 14, 1: 3, 2: 5, 3: 1, 4: 2}",0
74,False,"{'a': 0.5, 'e': 0.9464797565303317}",20,0,-52.63138719006062,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
75,False,"{'a': 0.5, 'e': 0.9449881501497497}",30,0,-154.77359498504717,"{0: 21, 1: 0, 2: 6, 3: 0, 4: 3}",0
76,False,"{'a': 0.5, 'e': 0.9434753522892882}",30,0,-299.15842348391,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 6}",0
77,False,"{'a': 0.5, 'e': 0.9419413211954138}",25,0,-103.93179841196668,"{0: 13, 1: 7, 2: 4, 3: 0, 4: 1}",0
78,False,"{'a': 0.5, 'e': 0.9403860141552928}",20,0,-71.62811891371992,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
