trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.5, 'e': 0.9999771067512191}",30,0,-174.743528916018,"{0: 14, 1: 6, 2: 8, 3: 0, 4: 2}",0
43,False,"{'a': 0.5, 'e': 0.9999768860946746}",25,0,-65.79542235759502,"{0: 15, 1: 4, 2: 6, 3: 0, 4: 0}",0
44,False,"{'a': 0.5, 'e': 0.9999766622324908}",35,0,-98.59034852813987,"{0: 23, 1: 5, 2: 6, 3: 0, 4: 1}",0
45,False,"{'a': 0.5, 'e': 0.9999764351022716}",30,0,-100.79899817181531,"{0: 18, 1: 6, 2: 5, 3: 0, 4: 1}",0
46,False,"{'a': 0.5, 'e': 0.9999762046400952}",25,0,-107.4408902071431,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
47,False,"{'a': 0.5, 'e': 0.9999759707804691}",25,0,-54.85408778314668,"{0: 15, 1: 5, 2: 5, 3: 0, 4: 0}",0
48,False,"{'a': 0.5, 'e': 0.9999757334562838}",20,11,-48.464685880045664,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 1}",1
49,False,"{'a': 0.5, 'e': 0.9999754925987648}",20,4,-24.009493744210246,"{0: 11, 1: 2, 2: 3, 3: 0, 4: 0}",1
50,False,"{'a': 0.5, 'e': 0.9999752481374223}",20,0,-124.45797876900014,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
51,False,"{'a': 0.5, 'e': 0.999975}",30,0,-227.43648823552093,"{0: 16, 1: 4, 2: 6, 3: 0, 4: 4}",0
52,False,"{'a': 0.5, 'e': 0.9999747481124214}",25,5,-95.46711260932658,"{0: 10, 1: 2, 2: 6, 3: 2, 4: 0}",1
53,False,"{'a': 0.5, 'e': 0.9999744923987348}",35,0,-197.07373406437128,"{0: 19, 1: 6, 2: 7, 3: 0, 4: 3}",0
